abciximab;acyclovir;alteplase;amiodarone;amlodipine;amoxicillin;ampicillin;angiotensin II;argatroban;aspirin;atorvastatin;atracurium;azithromycin;bisacodyl;bivalirudin;bumetanide;captopril;carvedilol;cefazolin;cefepime;ceftazidime;ceftriaxone;ciprofloxacin;cisatracurium;clindamycin;clonazepam;clonidine;desmopressin;dexamethasone;dexmedetomidine;diltiazem;diphenhydramine;dobutamine;dopamine;enoximone;epinephrine;epoprostenol;eptifibatide;erythromycin;esmolol;felodipine;fentanyl;fluconazole;flumazenil;furosemide;gentamicin;glycopyrronium;haloperidol;heparin;hydrocodone;hydromorphone;hypromellose;ketamine;ketorolac;lansoprazole;lepirudin;levetiracetam;levofloxacin;lidocaine;linezolid;lorazepam;meropenem;methadone;methylprednisolone;metoclopramide;metronidazole;micafungin;midazolam;milrinone;mirtazapine;morphine;neostigmine;nesiritide;nicardipine;nimodipine;nitroglycerin;nitroprusside;norepinephrine;octreotide;pancuronium;pentobarbital;phenylephrine;phenytoin;piperacillin;procainamide;propofol;ranitidine;rocuronium;simvastatin;spironolactone;succinylcholine;sufentanil;sulfamethoxazole;thiopental;tirofiban;tramadol;tranexamic acid;treprostinil;triamterene;vancomycin;vasopressin (USP);vecuronium;warfarin;xylometazoline
ReoPro;Xorox;Cathflo Activase;Amdarone;Norliqva;Amoxi Clavulan Pur;Agpen;Giapreza;Dabei;CLPIDO-A;Atorvastatine Eurogenerics;TRARIUM;Azithromycin AB;Bet-R-Prep;Bivalirudin Accord Healthcare;Bumetadine;Acepril;CADILMAX;Tokio;Painaixin;Ceptaz;CEFTRI M;CIBID;Cisatracurium Actavis;NEOTACIN;Rivotril;Dixarit;Noctiva;DEXADERM;Precedex;Adizem-XL;Paedamin;DOBUMINE;Dominin;Perfan;Adrenaject;Flolan;Integrilin;ERYTHIN;JEIL BREVIBLOC;AFDIPIN;Fenhuma;Femzol-1;Laiyi;Dryptal;Vetaderm;Enerzair;Kentace;Aknereduct;Qual-Tussin DC;Palladone-SR;NOVARTIS METHOCEL;KEIRAN;KETOLACIN;ELPRAN;Refludan;Levefintaic;CRAFLOCIN;Lidocan;Nezolid;Lora-Pita;BAROPENEM;Methex;Metigalen;Aspramide;LOMEX;Mycamine;Midavel;Lunanlikang;REMERON SOLTAB;Arymo;Miopin;Natrecor;Nicadirus-L;Buruixi;Nitrocine;Nitropress;Noradrenaline Aguettant;Bynfezia;Pavulon;Nembutal;Easeacold;Epanutin Ready-Mixed Parenteral;NEWZOCIN;Pronestyl;NEWFOL;RA-BS;ROCURIN;BYSIMVA;SPIROZIDE;Pantolax;Sufentanil Hameln;SULPRIME;Ravonal;Aggrastat;Iptramol;Rikavarin;Orenitram;Maxzide;GREENCO;Pitressin;Xianlin;WARFAR;ZYCOMB
CLOTINAB;ACYCLO;Actilyse Cathflo;Pacerone;Olmekar;Axycillin;Penbritin;;Exembol;K-CLO;ALTOVA;Saijining;AZITHROWON;Veracolate;Taijianing;Weixinhong;Captoruna;CARDIOL;Rasenazolin;Ruoneng;Modacin;Rozeclart;CIPRENIT;Nimbex;Benzaclin;Valpax;Catapres-TTS-2;MONARIN;OPTIDEX;Sedexodine;Britiazim;Benadryl Allergy Plus Congestion;Aowanyuan;Catabon;;Ultacan;Veletri;EPTIFIBATIDE ACCORD;GRENDACINE;Brevibloc;DIRODIL;Fentanyl-Piramal;ARCNAZOLE;Flumazenil Atv;Frusemek;BETAGEN;Cuvposa;Dozic;Dolorgiet;Maxidone;Narusus;Moisture-eyes;Vetalar;VITOLAC;HUPZOLE;;Leveriuol;ELFOXACIN;LidoPro Pain Relieving Patch;LINEZOLIDE ARROW;Luola;HYPENEM;Methadose;Methylpred;PANTASE-M;TRONAL;Funguard;Midazolan;Milrinon Rotexmedica;Paidisheng;PHARMA MS;Robinul-Neostigmine;;Perdipine;Yundien;Deponit;Nipruton;Anaesthol;Mycapssa;Pancuronium Hikma;Kassiodon;Demazin;Hydantol;PIRAZOCIN;Amisalin;Propofol-Lipuro;ALBITHUS;Rocuroniumbromid Hameln;CHOLETATIN;Noidouble;Succicuran;SUFENTANIL EUROCEPT;TS;Thiopental Rotexmedica;Aikate;ACETRADOL;Tajiushu;Treprost;Co-triamterzide;Vancocin Matri;VASOPRESSIN HANLIM;rcuron;Coumadin;Triaminic Decongestant
;CLOBIG;Activacin;Amidox;Amvas;Amiloxyn;Vidopen;;Novastan;ASPIDIDE;ATODIA;ATRACURIUM HOSPIRA;MACROMAX;Alophen Reformulated Jan 2008;Angiomax;Fordiuran;Dowpril;CAVETIL;Kefzol;Lisiping;ZAVICEFTA;Cefxone;CIPXACIN;CISATRACURIUM HOSPIRA;C/T/S;Clonazepam Neuraxpharm;Catapres-TTS-3;DDAVP;SINPOLE;Dexased;Tildiem;After Sting;Dobutrex;CJ DOPAMINE HCL PREMIX;;FD CAINE;EPOPROSTENOL INTSEL CHIMOS;Hanan;Benzamycin;Ailuo;FELOBAL;Sublimaze;DICAZOLE;Flumazenil Hameln;Frusol;SEPIDERM;Sialanar;Neoperidol;Hemeran;SymTan A;Hydromorphon Dura;GenTeal;Ketamin Hexal;CERASIN;LANSPAZOLE;;Q-PAM XR;LEFLOXA;Bruselix;Gramposimide;Serenase;YUHAN MEROPEN;Martindale Methadone DTF;CELCOR;Maxolon;MetroCream;Mikaimin;Midafresa;Milrinon Stragen;Mierning;M-Eslon;Eseral;;Beilining;SAMJIN NIMODIPINE;Sustac;Nipride;Meaverin;Yipubishan;Pancuronium Duplex-Actavis;Migrexa;Paedamin;Glyboral;TARPECIN;Novocamid;Leweijing;ALTIMO;ROCUMERON;EBSIMVA;Spilactone;Myo Relaxin;SUFENTANIL RENAUDIN;Septrin;Intraval Sodium;TIROFIBAN MEDAC;ACETRADOL SEMI;Properly;Ruimodulin;Frusene;Vanco;Neo Lidocaton;Vecure;Marfarin;Otrivine Congestion Relief
;CYCVI;Lysatec Rt;Darmil;Olmesartan / Amlodipin / HCT Mylan;SULTAM-A;Omnipen;;Nuobaositai;NEW CLOPINE DUO;ATORSAN PLUS;Atracurium Hexal;ZIMAX;Modane Reformulated Sep 2008;Angiox;Langqing;Captopril 1a Pharma;DICAVE M;Cefazolin Saar;Luoxinwei;Ansaitamei;Ceftriaxon Azu;MILPROXS;CISATRACURIUM PFIZER;Clinda-Derm;Antelepsin;Clonidin Awd;Stimate;TOBIANDEX;Dexdor;Tiamate;Duratuss AC 12;HANA DOBUTAMINE HCL;DOPAMINE DAEWOO;;Sus-Phrine Injection;Solution only for dissolving Flolan;Eptifibatid Mylan;Erygel;Aoyixin;Neofel XL;Recivit;FLRUNA;FLUMAZENIL PANPHARMA;Furocot;TRIMASONE;Robinul-Neostigmine;Elaubat;Hepaplus;Cytuss-HC NR;Hydromorphon Hameln;Goniosoft;KETOMIN;KEROLA;SOPRA;;EPILPRA;LEVOFL;Logicin;Linezolid Ratiopharm;Lorazepam EG;Meropen;Methaddict;JEMANS;Metramid;Metrosa;;Seizalam;Milrila;Mirtazapine Apotex;Oramorph;NEOSTIGMINE METHYLSULFATE DAIHAN;;Yuluotong;NIMODIPINE REYON;Nitro-Dur;Nipride;Xylocitin;Octreotid Hameln;Pancuronium-Actavis;Neodorm;Logicin;Zentromid;TASOZIN;Procanbid;Dishining;ALTRI;ROCURON;EZEVATIN;Merlactone;Succinyl Asta;Sufenta Mite;Cotrim;Thiopental Inresa;Tirofiban Ibisqus;ALPHACET;Lysteda;Remodulin;Betathiazid;Vanco Saar;Pressyn Ar;VECRON;Marevan;Sudafed Mucus Relief
;Zovirax;Activase;Amiodarex;Katerzia;ACLA;Principen;;ARGANOVA;Anacin Advanced Headache Formula;ATOSTAR PLUS;Atracurium Deltaselect;ZITH M;Bisa-Plex;;Shutong;Captopril Axcount;Carvedilol JD;Gramaxin;Xiankang;Ceftazidim Mip;CEFTREE;TELBICINE;CISATRACURIUM TEVA;Duac Once Daily;Dom-Clonazepam-R;Clonid Ophtal;Minrin;TOB TWO;Dexdomitor;Cardizem;Triaminic Night Time Cold & Cough;DOBUTAMINE PANPHARMA;DOPAMINE PIERRE FABRE;;E-Pilo-2;EPOPROSTENOL SANDOZ;;Erymax;ESBLOC;Felodipine EG;Matrifen;FULUCONAL;Flumazenil Hikma;Frusetic;Ocu-Mycin;Glycopyrroniumbromid Accord;Haloperidol Ratiopharm;Heparin Arnika Mao;Lortab;Hydromorphon Hcl 1a Pharma;Lumen C;KETAMINE RENAUDIN;Acular Augentropfen;Prevacid;;KINEPTIA;Quixin;Seda;LINOXAZOL;Am Lorazepam;KIRAVEM;Dolophine;MEPRE;Metoclomex;Neutratop;;Duomeikang;Primacor;Zispin;Sevredol;Novistig;;HUONS NICARDIPINE;Nimotop;Nitrong;Nitopro;Levophed;OCTREOTIDE KABI;Pancuroniumbromid Rotexmedica;Repocal;Sinutab;DI-HYDAN;UNIPERATAM;Procainamid Abl;Propofol B. Braun;BISCRAEL;ROCURONIUM HOSPIRA;SIMVAETI;Aldactazine;SUXAMETHONIUM AGUETTANT;Sufentanil Hikma;Bacter-Aid;Pentothal;Xinweining;ATMASET;HUONS TRANEXAMIC ACID;Trepulmix;Cardiotensin;Vancomycin Riemser;Vasostrict;Norcuron;JEIL WARFARIN;Otrivine Adult
;Galpharm Cold Sore;Actilyse;Amiodaron Carino;EX-ONE R;ACLAON;Totacillin-N;;NOTROBIN;Fasprin;AUCOVASTA;ACRIUM;ZITHROMIN;Correct (New Formula);;Burinex;Captopril Gry;Keweide;CEFOZOL;Kaluoxin;Ceftazidim Ratioph;CJ CEFTRIAXONE;Ciproxin;Cisatracurium Accord;Treclin;Mylan-Clonazepam;Combipresan;DESRIN;VICLEAN;Igalmi;Cartia;Theraflu Multi Symptom;DOBUTAMINE SILCAR;CJ DOPAMIX;;E-Pilo-4;Epoprostenol Rotexmedica;;MY-E;ESMOCARD;Felo Puren;E-Fen;SELFNAZOLE;Flumazenil Deltaselect;Frusene;Gentafix;Assicco;Sigaperidol;Heparin Dihydergot;Relasin-HCX;Hydromorphon Hcl Heumann;Ultra Tears;Vetaket;Ketovision;Taiproton;;LEVIEPIL;Levaquin;Workvie;LINEZOLIDE PANPHARMA;Punktyl;Meronem;Metharose;METHISONE;Peraprin;Asuzol;;MIDAZOLAM ACCORD;COROTROPE;Mirtazapin Isis;Zomorph;NEOS;;LOXEN;Yuangan;Nitrostat;NITRIATE;Sinora;Octreotid Bendalis;Pancuronium Inresa;Socumb;Wal-Profen Congestion Relief and Pain;Phenytoin Awd;Yitan;Apo-Procainamide;Propoven;ENPIS;Rocuronium Tamarang;SIMVAPLUS;Spiro D;Lysthenon;Sufentanil Narcomed;Gantanol;PENTOTAL SODIUM;Tirofiban Ac;ATRAPEN;TRANSAMIN;Tyvaso;Esiteren;DONG-A VANCOMYCIN HCL;;ECHICURON;KUFARIN;Otrivine Allergy Relief
;Duvimex;Cathflo;Amiohexal;ADIES;ACLAON DUO;Penbritin Forte;;Slonnon;Alka-Seltzer Plus Cold and Cough;DIVASTIN;Atracurium Hikma;ZITHROTEC;Fleet Bisacodyl;;Bumex;Captopril Hct Stada;Kailuo;Cefazolin-Mip;Renapime;CEFAZIME;MYUNGMOON CEFTRIAXONE SODIUM;Ciprodex;Cisatracurium Noridem;Dalacin;Riva Clonazepam;Clonistada;ENURINE;Maxitrol;Dexmedvet;Optil XL;Paxidorm;Dobutamin Carino;Kakodin;;E-Pilo-6;EPOPROSTENOL ARROW;;A/T/S;;Felodipin Awd;Durotep;FLUZONE;FLUMAZENIL AGUETTANT;Fru-Co;Gentisone;Dartisla;Xyduril;Heparin Funcke;Hydro-Tuss XP;Hydromorphon Hcl Puren;Tearisol;Ketaved;Apo-Ketorolac;Tapizol;;Keppra;Evoxil;Gold Bond Pain and Itch;LINEZOLIDE SANDOZ;Somagerol;Meropenem Puren;Mephenon;METHYSOL;Folicron;Miertuo;;MIDAZOLAM AGUETTANT;Milrinon Hikma;Mirtazapin Kwizda;Oramorph SR;Atvagoreverse;;NICARDIPINE AGUETTANT;Jili;Nitro-Par;Nipruss;Xylestesin;Octreotid Hexal;Pancuroniumbromid Ratiopharm;Euthasol;Poly Hist Forte;Apo-Phenytoin;Yijun;Procan;Propoflo;JANDARK;Rocuroniumbromid Hexal;SIMVAZOCOR;Spiro Pa;Quelicin;Dsuvia;Daiphen;Trapanal;Tirostat;CONTRA;TRENZAMINE;;Hypertorr;VANCOZIN;;Musculax;Nu-Warfarin;Rhinivex
;Lloydspharmacy Cold Sore;Grtpa;Cordemcura;ALPHAFORGE;AMONEX;Viccillin;;AGARON;Extra Strength Bayer;GADUE;Tracrium;Azitromax;Numark Constipation Relief;;Lunetoron;Captopril Heumann;Jinluo;Xintailin;ALVOGEN CEFEPIME HCL;YUNGJIN CEFTAZIDIME;CEFKIZON;Cipro HC;Cisatracurium Normon;Kaifufei;Landsen;Apo-Clonidine;DEMORESIN;Ocu-Trol;Leweijia;Zemret;Dytan-CD;Posiject;Yaelista;;Octocaine with Epinephrine;EPOPROSTENOL PANPHARMA;;Pediazole;;Felodipin Azu;Cynril;Diflucan;FLUMAZENIL TEVA;Frusamil;Gentamicin Redibag;Utibron;MYUNGIN HALOPERIDOL;Heparin Heumann;M-End Liquid;Hydromorphon Stada;Evolve Hypromellose;Keta-Thesia;Novo-Ketorolac;Takepron;;Matever;Tavanic;Salonpas Lidocaine Plus;Lineurlub;LORAZEPAM MYLAN;NEOPEM;Depridol;NTF;Dibertil;Rosaced;;Midazolam Pfizer;Unacor;Mirtazapin Pharma;Roxanol;Vagostigmin;;Cardene;Nidaer;Nitroquick;Nitroprussiat Fides;Noralin;Sandostatin;;Bella Sanol;Sudafed PE Head Congestion Plus Pain;Novo-Phenytoin;Piperacilline / Tazobactam EG;Coritrat;PROPOFOL FRESENIUS;KBIS;Rocuroniumbromid Hikma;VAROZET;Spiro Tk;Anectine;ZALVISO;Feinaan;Pentothal Ready To Mix;Tirofiban Hexal;DANOPHEN SEMI;Tranexamsaeure Carino;;Resex;HANOMYCIN;;VERONI;Novo-Warfarin;Nuso-San
;Clsore;;AMIODARONE AGUETTANT;AMBESK S;ARI ACICLAN;Yunasupin;;TROMBAN;Acuprin 81;HIGHDUET;Atracurium Atv;Zithromac;Bekunis;;Youbuding;Captopril Pfleger;Carvedilol Wolff;Baktozil;MYUNGMOON CEFEPIME;CEFTAZIDIME GERDA;CEFREX;Ciproflaxacin;Aj-Cisatracurium;Aolixian;WHANIN CLONAZEPAM;Ntp-Clonidine;OVEA ODIFS;Ciprodex;Dexmedesed;Zemtard;Dytan;Anchang;Cardiosteril;;P3E1;Epoprostenol Normon;;Sulfimycin;;Felodipin Heumann;Onsolis;Lloydspharmacy Thrush Oral;Flumazenil Hexal;Disal;Endurance Gentamicin cement;Ulunar Breezhaler;Haloper-Ct;Hepathrombin;Hydrotuss HC;Hydromorph Contin;Ts Naturale;Keta Hameln;Nu-Ketorolac;Lansap;;LEVETIRACETAM KRKA;Levofloxacin BT;CidalEaze;Linezolid Accord;TEMESTA;NEWROPENEM;Methadon Neuraxpharm;PREZIMIN;Gastrotem;Tryplera;;Apo-Midazolam;Apo-Milrinone;Mirtazop 1a Pharma;Infumorph;Mypilin;;Apodipine;Yifulin;Ethex brand of nitroglycerin;Cora-Bosan;NORADRENALINE;Sandostatin LAR;;Omca;Benadryl Allergy Plus Congestion;Tremytoine;Ab Piperacillin;Rhythmochin I;PROPOFOL PANPHARMA;RABISCAN;Rocuroniumbromid Hospira;Zocor Ht-Pro;Spirodigal;Relaxin;SUFENTAL;Feian;;Tirofiban Hikma;GREENCET SEMI;Cyklokapron;;Triampur;ALLVANCO;;Wankesong;Taro-Warfarin;Gelonasal
;Natazil;;AMIODARONE BIOGARAN;AMLOBA S;ARI ACICLAN NEO;Ampicillin Ratioph;;NOVASTAN HI;Aspirtab;LITOR;Atracurium Hameln;Mingqixin;Axea Lax;;Huiyuan;Esparil;Carvedilol Actavis;Cefazolin Eberth;AXEPIM;CEFTAZIDIME SANDOZ;CEFTRIXONE;Xipuxin;Cisatracurium Hameln;Kexinlin;Apo-Clonazepam;Nu-Clonidine;DENIRIN;Aeroseb-Dex;Sileo;Herbesser;PediaCare Children's Allergy & Cold;Dobutamine EG;DOPAMIX CJ;;P4E1;Caripul;;Ilosene Forte;;DILOPIN;Fentanyl 1a Pharma;Fulkazil;Romazicon;Durafurid;Gentacin;Novistig;Apo Haloperidol;Praecivenin;Procet;HYDROP;Hypromol;Ketathesia;KENTORAC;LANSOPRAZOLE BGR;;Lingertong;Keding;Preparation H Rapid Relief;Linezolid Demo;Tavor;MEPINEM;CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE;Meizhuole;Hyrin;rzol;;Miprosed;MILRINONE MEDAC;MYUNGMOON MIRTA;RMS;JEIL NEOSTIGMINE METHYLSULFATE;;Kashutai;Pingdaer;Gonitro;;Norepine;Shengaoding;;Belcomp;PHENEPHRINE;PHENIBITAL;Piperacillin Exal;Rhythmochin Ii;Anesia;RABIT D;Rocuroniumbromid Mylan;Cholib;Spirogamma;CELOCURINE;SUFENTANIL MYLAN;Yibifu;;;KONTRAM;Hexatron;;Triazid;DONGKWANG VANCOMYCIN;;VECARON;Jantoven;Imidin
